---------------------------------
    Results for GMC_10075_G5_5uM_Day6.avi 
---------------------------------
Raw data:
Particle    BPM    Bend Measure    Speed    Area    Appears in frames    Region
0    26.717557    3.344220    0.008203    0.008712    289    all
1    31.331593    1.460632    0.013035    0.007986    1150    all
2    30.000000    3.027558    0.012671    0.004114    238    all
3    40.469974    1.989318    0.028644    0.007502    1148    all
4    17.754569    1.646268    0.006046    0.007018    1150    all
5    44.386423    3.703249    0.019413    0.008349    1150    all
6    29.925187    2.515158    0.013343    0.010285    397    all
7    0.522193    1.853349    0.000633    0.010890    1145    all
8    18.531469    1.258013    0.009804    0.008288    801    all
9    23.653846    1.265070    0.003942    0.005929    513    all
10    24.804178    2.811212    0.009874    0.009559    1150    all
11    6.936416    3.717311    0.003112    0.008712    322    all
12    2.008032    2.759681    0.000719    0.008591    708    all
13    54.545455    3.584206    0.021376    0.005808    598    all
14    25.581395    2.147233    0.019217    0.006292    499    all
15    35.647059    3.336590    0.019525    0.006655    850    all
16    39.686684    1.948450    0.022608    0.009075    1150    all
17    66.734694    3.025070    0.044274    0.007865    978    all
18    30.548303    1.310997    0.017538    0.007139    1148    all
19    28.502879    3.132524    0.014802    0.007744    1033    all
20    27.318718    3.203933    0.000922    0.008591    528    all
21    24.545455    4.640126    0.035158    0.012705    221    all
22    7.310705    2.319945    0.000298    0.010890    1105    all
23    16.944444    1.118781    0.009155    0.008349    1075    all
24    33.420366    2.526520    0.019695    0.004719    1150    all
25    0.000000    2.622660    0.000348    0.007260    1118    all
26    20.626632    3.262490    0.010690    0.007865    1149    all
27    0.000000    4.143922    0.000531    0.008833    945    all
28    2.610966    1.690957    0.002087    0.005566    1148    all
29    23.541247    1.741328    0.023279    0.010406    492    all
30    40.449438    2.741113    0.015489    0.009317    345    all
31    0.000000    2.648520    0.001327    0.007623    512    all
32    31.103679    2.443340    0.019574    0.007139    293    all
33    25.448029    2.527173    0.013698    0.006776    836    all
34    4.960836    3.501666    0.002128    0.007502    1150    all
35    0.969305    3.141565    0.000429    0.006050    482    all
36    32.584270    1.655971    0.015188    0.007623    267    all
37    25.107296    1.760239    0.007656    0.009317    462    all
38    39.947781    1.782830    0.038999    0.007683    1150    all
39    29.213483    2.762136    0.011128    0.009438    252    all
40    43.566176    2.426995    0.080036    0.006292    541    all
41    11.749347    2.658604    0.000384    0.006776    1150    all
42    25.065274    2.317858    0.010732    0.006171    1119    all
43    25.842697    3.648233    0.001049    0.005203    263    all
44    0.522193    1.732104    0.000284    0.008228    1150    all
45    39.506173    3.453847    0.033064    0.008107    237    all
46    52.219321    1.359474    0.001129    0.003751    1101    all
47    37.200000    2.029850    0.011079    0.003751    238    all
48    12.423313    1.282377    0.001053    0.007260    652    all
49    45.468750    3.017468    0.012023    0.009196    615    all
50    17.814727    4.240031    0.000652    0.006050    756    all
51    23.237598    3.888729    0.011144    0.008591    1149    all
52    5.221932    3.046190    0.006438    0.010285    1150    all
53    33.745365    3.689306    0.020413    0.004477    805    all
54    12.500000    2.070388    0.010395    0.007139    339    all
55    12.271540    2.747928    0.005242    0.005445    1150    all
56    49.816850    2.199988    0.031749    0.008228    792    all
57    61.439114    2.666784    0.022790    0.007865    515    all
58    40.506329    1.376935    0.016063    0.007381    226    all
59    9.660574    3.906755    0.000346    0.006413    1064    all
60    20.000000    2.368742    0.020374    0.008470    389    all
61    13.580247    3.611748    0.007796    0.008107    953    all
62    31.937173    1.339688    0.019979    0.003509    570    all
63    25.190840    2.386831    0.021528    0.006534    250    all
64    25.352113    1.212435    0.031038    0.010164    618    all
65    35.294118    2.163913    0.001394    0.005687    200    all
66    44.728916    1.681910    0.023451    0.005324    661    all
67    51.913478    2.713963    0.036812    0.005324    598    all
68    54.702495    3.654838    0.024861    0.008591    889    all
69    0.000000    2.663330    0.000427    0.007381    1150    all
70    6.527415    1.231271    0.002060    0.003993    1133    all
71    48.541863    3.229424    0.030102    0.005929    1061    all
72    9.138381    3.856129    0.007238    0.012100    1149    all
73    74.151436    2.528093    0.024587    0.003993    1147    all
74    10.966057    2.739001    0.000897    0.008349    899    all
75    39.647577    1.153819    0.022284    0.003751    224    all
76    0.000000    1.263936    0.001040    0.008833    1146    all
77    41.785714    2.724982    0.029746    0.008712    1107    all
78    50.476190    3.647531    0.027885    0.007865    311    all
79    30.344828    0.855406    0.035206    0.009196    431    all
80    0.000000    2.798813    0.000875    0.004719    1142    all
81    0.000000    0.115896    0.000367    0.010890    991    all
82    40.783410    2.154691    0.023347    0.007744    431    all
83    33.834586    3.525029    0.028111    0.007018    257    all
84    17.419355    2.500384    0.008231    0.003509    451    all
85    38.709677    2.501239    0.014108    0.005929    588    all
86    53.263708    2.296505    0.027821    0.006655    1150    all
87    35.330579    3.100706    0.021880    0.003146    958    all
