---------------------------------
    Results for GMC_DMSO_Day6.avi 
---------------------------------
Raw data:
Particle    BPM    Bend Measure    Speed    Area    Appears in frames    Region
0    2.349869    0.371961    0.000600    0.003993    1150    all
1    31.886228    0.239646    0.019217    0.004356    668    all
2    39.919355    2.062791    0.009885    0.003388    232    all
3    3.033088    3.400463    0.011127    0.005626    1087    all
4    37.597911    1.961251    0.019150    0.007744    1142    all
5    18.282548    1.437532    0.007415    0.003267    1059    all
6    0.261097    0.000000    0.000875    0.003267    1128    all
7    28.720627    3.264951    0.011271    0.004235    1150    all
8    48.735020    1.534448    0.012762    0.006292    751    all
9    14.146341    0.189098    0.000490    0.006171    494    all
10    30.769231    2.220097    0.013516    0.008530    233    all
11    13.577023    2.122179    0.000868    0.007865    1150    all
12    0.000000    2.765338    0.001099    0.008349    402    all
13    32.882883    2.639066    0.017496    0.008591    608    all
14    18.537859    4.539579    0.007053    0.003630    1147    all
15    43.269231    1.677904    0.028566    0.004477    200    all
16    8.877285    2.984503    0.002057    0.008470    1033    all
17    41.975309    2.075797    0.017054    0.007018    244    all
18    36.857143    2.770949    0.015200    0.008712    348    all
19    42.506812    1.303899    0.000644    0.007381    360    all
20    24.900000    2.466729    0.007824    0.004477    994    all
21    33.161954    3.250059    0.021411    0.003872    387    all
22    51.692308    4.119738    0.020919    0.007986    325    all
23    0.000000    4.507533    0.000575    0.007865    974    all
24    42.366412    2.184525    0.000697    0.007865    972    all
25    0.000000    1.541124    0.000695    0.005566    1148    all
26    54.569191    1.955203    0.023315    0.005687    1146    all
27    11.749347    3.292474    0.000656    0.003993    1150    all
28    13.577023    0.667978    0.008379    0.005445    1150    all
29    25.848564    0.807836    0.015046    0.003388    1123    all
30    33.453237    1.648364    0.026822    0.005203    278    all
31    40.206186    2.219813    0.020846    0.007623    965    all
32    9.921671    2.112852    0.003165    0.004356    1147    all
33    48.063380    2.854625    0.017512    0.007139    561    all
34    12.367021    3.089404    0.045212    0.006897    752    all
35    19.230769    2.954816    0.003909    0.007018    232    all
36    4.444444    4.158030    0.001204    0.006050    635    all
37    43.342037    4.573182    0.000460    0.007260    1150    all
38    24.713959    0.304301    0.000573    0.008591    366    all
39    58.746736    2.792583    0.032211    0.003146    379    all
40    19.380888    4.436336    0.006482    0.006534    726    all
41    48.800000    4.061529    0.021415    0.007139    748    all
42    31.070496    1.627470    0.003493    0.007623    1150    all
43    25.568182    2.459519    0.013657    0.003146    529    all
44    33.442623    2.205403    0.006026    0.011374    305    all
45    16.502947    3.677662    0.014230    0.007502    475    all
46    1.066351    1.767538    0.001150    0.008712    839    all
47    0.000000    1.082429    0.000897    0.008954    208    all
48    28.758170    0.133305    0.013244    0.005203    458    all
49    8.355091    3.033765    0.004752    0.004961    1073    all
50    25.494071    3.732572    0.023177    0.005687    449    all
51    2.734731    3.155101    0.021399    0.007744    1069    all
52    4.438642    1.477414    0.000703    0.004840    1140    all
53    37.075718    3.640424    0.005405    0.007865    1149    all
54    37.859008    2.944247    0.023040    0.009922    1149    all
55    26.716141    0.300488    0.014895    0.006171    539    all
56    12.010444    3.027137    0.000544    0.006655    1150    all
57    45.595855    3.431315    0.000990    0.004477    374    all
58    36.000000    2.067283    0.078931    0.009317    401    all
59    34.844193    3.316224    0.012847    0.007865    335    all
60    36.986301    2.770225    0.015606    0.007018    644    all
61    0.000000    0.324431    0.000570    0.009196    676    all
62    10.000000    3.229477    0.007114    0.003630    802    all
63    23.237598    2.308425    0.009471    0.007018    889    all
64    8.936170    3.505635    0.015823    0.004840    236    all
65    37.334802    2.642882    0.021307    0.005687    706    all
66    13.066202    1.371192    0.001512    0.003872    1093    all
67    9.660574    1.640430    0.002319    0.004598    1120    all
68    43.080940    4.038030    0.017569    0.005082    1150    all
69    8.877285    1.257352    0.001779    0.007865    1148    all
70    22.976501    2.434101    0.007272    0.007986    1118    all
71    0.000000    2.228731    0.001428    0.007078    1053    all
72    28.351648    2.740411    0.019002    0.004598    435    all
73    44.647520    2.930023    0.001157    0.005324    1138    all
74    17.754569    3.468139    0.000306    0.005203    1149    all
75    46.067416    0.329463    0.023083    0.008409    514    all
76    27.676240    1.954048    0.000396    0.006413    1008    all
77    39.406780    1.074347    0.016278    0.007623    236    all
78    22.715405    2.405070    0.007863    0.006655    995    all
79    0.000000    0.986290    0.000284    0.006171    1150    all
80    49.928876    1.913264    0.020366    0.004235    694    all
81    24.020888    2.106597    0.007081    0.005687    1149    all
82    41.284404    1.885276    0.011390    0.004840    212    all
83    31.070496    0.356978    0.012546    0.007986    1150    all
84    40.992167    2.180026    0.022584    0.003993    1130    all
85    14.968815    1.390317    0.008831    0.008470    474    all
86    15.926893    3.090788    0.000980    0.004598    1128    all
87    13.315927    2.635502    0.000652    0.008107    963    all
88    8.355091    3.052971    0.001182    0.006776    1136    all
89    30.491803    2.781723    0.010977    0.006171    306    all
90    9.988519    2.734274    0.007198    0.007381    865    all
91    31.547017    2.408608    0.019968    0.007804    982    all
92    12.156863    3.014642    0.006282    0.007744    682    all
93    53.185596    2.724226    0.032589    0.005566    360    all
94    0.000000    2.798770    0.000627    0.007381    243    all
95    29.378531    2.555122    0.020567    0.007865    531    all
96    22.715405    3.904340    0.011412    0.005082    1146    all
97    1.657459    1.690975    0.000687    0.007260    748    all
98    19.494585    1.949928    0.006164    0.008349    269    all
99    45.882353    3.214771    0.011631    0.007139    244    all
100    1.044386    1.988480    0.002511    0.008288    1150    all
101    28.222997    0.814459    0.015459    0.007623    254    all
102    41.253264    2.293637    0.013395    0.005263    1142    all
103    41.033435    1.996169    0.009774    0.005203    320    all
104    16.971279    0.733930    0.004676    0.003872    1148    all
105    30.548303    3.636944    0.010571    0.004961    1140    all
106    21.311475    3.459470    0.000330    0.005082    211    all
107    23.498695    2.521036    0.009456    0.009922    1148    all
108    2.027027    3.153771    0.000800    0.007018    400    all
109    16.449086    2.923831    0.014393    0.009196    1150    all
110    0.000000    3.366197    0.000566    0.008470    1146    all
111    14.621410    2.041931    0.001696    0.004356    992    all
112    28.244275    2.324500    0.014113    0.003993    385    all
113    25.326371    1.903002    0.015557    0.005929    1131    all
114    30.727763    2.765412    0.014150    0.009559    707    all
115    37.007874    0.704738    0.021700    0.003993    747    all
116    24.721604    1.212867    0.016923    0.013552    450    all
117    18.435754    1.910449    0.027302    0.007865    315    all
118    0.000000    3.100300    0.000651    0.008651    1150    all
119    6.005222    1.398654    0.000418    0.007502    1126    all
120    49.086162    1.571963    0.021231    0.005203    1143    all
121    41.250000    2.583622    0.024775    0.004235    224    all
122    29.242820    1.175912    0.016456    0.008228    1150    all
123    0.000000    1.632779    0.001378    0.003267    202    all
124    16.153846    2.022897    0.000279    0.007502    495    all
125    33.039648    2.548215    0.009778    0.003872    226    all
126    54.569191    3.893684    0.021857    0.006050    1150    all
