---------------------------------
    Results for N2_Day6.avi 
---------------------------------
Raw data:
Particle    BPM    Bend Measure    Speed    Area    Appears in frames    Region
0    38.120104    2.108314    0.014193    0.008470    1149    all
1    9.574468    3.196159    0.001065    0.005808    840    all
2    9.204545    1.659635    0.002946    0.006715    851    all
3    40.780142    3.590117    0.028721    0.007381    841    all
4    20.930233    2.062744    0.018646    0.008954    250    all
5    39.164491    0.812205    0.022045    0.006897    1143    all
6    2.349869    2.131871    0.001270    0.010406    1150    all
7    35.770235    3.280962    0.009255    0.007865    1145    all
8    44.210526    3.662562    0.019479    0.007865    224    all
9    39.166667    2.940437    0.011856    0.008470    719    all
10    36.292428    4.449753    0.016313    0.008712    1150    all
11    18.237082    4.097825    0.013599    0.007139    327    all
12    8.877285    2.434913    0.000353    0.007260    960    all
13    37.075718    2.613103    0.019610    0.008107    1147    all
14    51.396648    3.006567    0.032470    0.006534    536    all
15    0.000000    2.154898    0.000457    0.008591    1150    all
16    45.909091    1.548430    0.036166    0.010648    632    all
17    19.047619    2.271090    0.010612    0.010043    240    all
18    23.498695    3.113356    0.013178    0.006292    1123    all
19    26.370757    3.090762    0.012138    0.007623    1143    all
20    41.253264    2.887521    0.001217    0.008833    943    all
21    7.610147    1.209083    0.001669    0.010527    736    all
22    20.710059    1.144455    0.017703    0.010406    1003    all
23    62.367223    3.811336    0.031401    0.008712    660    all
24    33.398438    2.510459    0.017134    0.008833    508    all
25    33.206107    2.930610    0.022812    0.010285    1044    all
26    0.000000    0.987367    0.001567    0.006171    237    all
27    28.720627    2.820383    0.007225    0.009075    1148    all
28    52.768730    2.560596    0.021846    0.010043    907    all
29    12.328767    1.552274    0.001564    0.010890    267    all
30    48.859935    1.059306    0.034760    0.005687    306    all
31    6.266319    1.373010    0.000393    0.006413    1115    all
32    45.430809    2.162865    0.019909    0.004477    1150    all
33    43.873518    2.653607    0.025268    0.008228    253    all
34    34.725849    3.895920    0.017214    0.006534    1133    all
35    30.288462    2.151844    0.028828    0.009680    999    all
36    30.548303    3.599201    0.024235    0.011616    1132    all
37    32.114883    3.484995    0.020705    0.006655    1150    all
38    37.500000    0.956193    0.013868    0.005445    315    all
39    43.396226    4.327885    0.034499    0.007381    469    all
40    0.522193    2.416498    0.000853    0.005082    1150    all
41    31.206294    2.251100    0.006754    0.005687    961    all
42    39.329268    2.924594    0.024020    0.006897    650    all
43    33.942559    3.683754    0.012709    0.009801    1150    all
44    34.464752    3.999314    0.011802    0.007260    1142    all
45    35.880399    3.309316    0.003191    0.006534    299    all
46    11.227154    0.488601    0.000762    0.003267    1147    all
47    27.415144    2.387978    0.017047    0.011616    1145    all
48    3.676471    2.773123    0.000929    0.007502    575    all
49    24.804178    0.183261    0.019440    0.005203    1150    all
50    17.493473    1.259392    0.004064    0.004840    1150    all
51    42.201835    3.329813    0.017956    0.009438    638    all
52    17.429577    2.279722    0.008219    0.009922    563    all
53    22.591362    3.608900    0.006338    0.005929    889    all
54    28.834356    4.298224    0.023854    0.006655    475    all
55    40.736479    1.607730    0.018523    0.010406    863    all
56    33.710801    3.754292    0.024008    0.007139    1082    all
57    10.033445    1.378535    0.001097    0.011011    289    all
