Wavelength (nm),0 mins ,4 mins ,8 mins,12 mins ,16 mins ,20 mins ,24 mins ,28 mins ,32 mins ,36 mins ,40 mins ,44 mins ,48 mins ,52 mins ,56 mins 
290,274.3292542,753.3544312,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
290.9299927,263.484314,543.6481323,767.2698364,914.8140259,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
292.0299988,254.7117767,453.6684875,590.4039307,711.4458618,777.5783691,855.529541,931.8306885,969.4606934,995.2298584,1000,1000,1000,1000,1000,1000
292.9599915,272.2701111,451.5508423,563.1900024,670.5667725,727.40448,759.375,807.2907104,878.2415771,907.6487427,928.5072021,947.7443237,945.4185181,985.2232056,986.6680908,988.4186401
294.0599976,288.0953674,408.3260498,539.4771118,640.0193481,708.6517334,762.1387329,823.0213013,830.0949097,885.6167603,878.1707153,904.614502,930.1401367,964.2971802,968.0568848,969.9309692
295,295.1932678,459.1704407,578.4720459,663.3445435,694.4155884,746.8614502,791.3858643,819.9984131,856.8585815,865.8694458,920.6633301,928.5083008,928.3110962,954.9096069,951.6401978
295.9299927,316.9655762,464.8316956,588.809082,644.7077026,711.114624,762.4420166,801.065918,819.1152954,861.2156982,877.7069092,899.1982422,922.2869263,928.2088623,931.8575439,959.8658447
297.0299988,344.2318115,472.9608459,574.5336304,623.8556519,708.3983765,763.208313,806.2554932,827.4130859,839.989502,844.531311,906.0809326,899.5374146,926.7335205,926.6765137,927.1814575
297.9599915,361.1915894,492.241394,584.206604,660.3798218,708.0425415,745.3815918,782.4511719,834.1546021,836.6337891,869.7867432,894.0062256,900.4333496,920.8824463,924.0709839,930.8305054
299.0599976,365.0426331,495.8096313,584.8224487,670.0414429,725.2599487,753.0319824,771.4805908,790.0446167,830.3519287,843.59375,891.5307617,898.527771,871.3234253,894.2050171,907.6501465
300,384.4451599,513.9397583,579.6326904,653.1549683,697.9976196,737.1671753,778.484314,790.2421265,804.303772,834.272522,889.7664795,881.4346924,889.1685181,889.333313,894.9338379
301.0700073,383.1309204,504.7702637,591.031189,634.0092773,680.5849609,724.9872437,753.7781372,799.1428833,785.7801514,812.4632568,849.7010498,872.0365601,876.6635742,865.5790405,880.4537354
302,397.0664368,512.2364502,567.1209106,628.9370728,676.0949707,714.0824585,746.237915,781.2459717,770.8026123,800.2057495,844.753418,835.4579468,840.1339111,858.1802979,856.4821777
303.0700073,419.6292419,508.5340271,583.4708862,629.130188,650.9242554,708.6350708,734.1421509,763.0175781,755.2224731,794.1911621,812.4630127,828.0819092,836.3793945,843.3997803,845.6151123
304,412.0066833,499.2605286,570.0330811,612.1511841,665.4060059,676.3468018,725.3979492,732.0134277,760.2469482,730.8638916,776.4205933,791.7555542,806.6841431,820.1422119,817.8059692
305.0700073,410.9524231,504.4231873,562.8117065,623.7250977,634.4057617,670.0577393,707.7078857,700.6566162,723.2548828,754.9666748,758.1702881,767.6029053,754.2211914,802.9501953,770.5826416
306,384.3085938,494.5134583,548.204895,589.4188843,620.2317505,656.1913452,681.7886963,692.3586426,680.0058594,729.890686,764.1838379,723.664856,748.843689,766.7312012,772.173584
307.0700073,379.350708,490.2896118,529.1148071,582.5917969,615.4625244,631.1021729,643.4761963,671.9677734,690.0647583,709.5848389,698.5709229,735.6629028,735.0071411,735.3909912,744.0985718
308,377.93573,475.5389099,508.6811218,546.8584595,589.7845459,620.8179321,638.7993774,669.0115356,658.5906982,679.743042,708.8765259,696.6749878,708.9684448,712.6906128,715.6846924
309.0700073,365.9455566,459.2939453,508.7714844,544.9403076,593.6784668,617.8520508,625.5251465,610.9544678,646.050293,659.5612793,675.1977539,678.9179688,670.9182739,685.5102539,694.6659546
310,369.2352295,454.371521,503.276062,527.3742676,569.4458618,577.1036377,595.2606201,608.6239014,622.6644897,646.8412476,649.7271118,637.8995361,647.4650879,680.5206299,674.6882935
310.9299927,356.1218262,432.2639465,474.1967468,504.9749146,549.1654663,557.7330322,601.7903442,585.2456665,615.5588989,628.414856,630.7639771,631.1445923,635.5500488,645.638916,632.2372437
312.0299988,348.5270691,414.1372681,457.6737671,502.1815796,507.0184021,531.7406616,559.9313965,566.0858154,599.1854858,597.8840942,604.3300171,592.524292,597.5388184,610.1352539,606.5216675
312.9599915,322.9399414,391.6591187,437.017334,491.0127563,486.8251343,504.6835632,544.4344482,544.720459,569.0474854,573.526062,566.4527588,585.1891479,606.4967651,585.0637207,604.5053711
314.0599976,312.5792236,378.2362366,419.537384,441.2352295,467.7727966,486.9522095,518.0166626,509.3069763,549.7758789,539.5615234,553.3532104,552.5789185,556.4197388,552.4805298,578.0194092
315,296.8962097,379.0766907,401.4490967,434.0740662,457.8024292,476.1702271,502.2557373,491.2364807,526.0967407,530.4046631,530.5637817,548.4788208,552.5865479,550.0180054,571.5162964
315.9299927,280.0946045,351.5982971,380.0010681,427.3351135,451.1131592,466.629303,481.1870422,475.454895,496.3030396,504.2889709,502.9701538,516.1774902,531.0211182,515.7286377,532.6370239
317.0299988,282.1596069,330.0075684,366.0843811,405.9159851,411.1414795,431.5979004,458.6439819,461.0434875,477.9785461,478.065155,486.7872314,488.745636,506.2713623,501.7095947,500.0779114
317.9599915,261.0339661,323.649231,356.7761841,386.4522095,401.5299377,433.3818054,445.1283569,423.8356934,454.371521,467.8417969,468.8775635,476.9740295,470.1611633,490.6299744,499.9734497
319.0599976,255.6423492,313.1893921,331.7402649,365.577301,383.7050476,406.5004272,409.7429199,420.9121399,435.4026184,450.2964478,434.0316162,449.5603027,451.3182373,461.934845,445.7789917
320,238.0300903,269.0842285,276.3754578,299.0104675,286.4431458,303.961792,301.3374023,311.4447937,319.852478,333.9703064,347.1056824,338.7851257,345.7012024,317.1148376,333.4052429
