111.txt: 24072 X	111.txt: 24072 Y	1AB_1D.txt: column 1 X	1AB_1D.txt: column 1 Y	1AB_2D.txt: column 1 X	1AB_2D.txt: column 1 Y	1AB_6D.txt: column 1 X	1AB_6D.txt: column 1 Y	1AB_10D.txt: column 1 X	1AB_10D.txt: column 1 Y	1AB_15D.txt: column 1 X	1AB_15D.txt: column 1 Y	1AB_20D.txt: column 1 X	1AB_20D.txt: column 1 Y
3.0	2122.29412059	0.0	2240.92592889	0.0	2856.40404424	0.0	2203.43055833	0.0	2089.60283426	0.0	2359.86992195	0.0	1015.96666667
7.0	1392.96078059	3.0	1810.59258889	3.0	1973.40404424	3.0	2463.76388833	3.0	1563.60283426	3.0	963.536581951	3.0	258.966666667
10.0	854.294120588	7.0	1843.25925889	7.0	913.404044243	7.0	1206.76388833	7.0	1086.26950426	7.0	1900.20325195	7.0	-44.0333333337
13.0	-100.705879412	10.0	1821.92592889	10.0	1128.73737424	10.0	1206.43055833	10.0	749.602834255	10.0	732.536581951	10.0	217.966666667
17.0	-277.705879412	13.0	411.592588889	13.0	862.404044243	13.0	837.430558334	13.0	800.602834255	13.0	122.536581951	13.0	104.966666667
20.0	103.627450588	17.0	273.925928889	17.0	346.070704243	17.0	19.4305583338	17.0	684.602834255	17.0	540.869921951	17.0	212.466666667
23.0	-175.039219412	20.0	-78.7407411119	20.0	-107.929295757	20.0	100.430558334	20.0	707.602834255	20.0	-462.130078049	20.0	-314.033333333
27.0	74.9607805882	23.0	496.925928889	23.0	-148.262625757	23.0	-16.9027816662	23.0	716.269504255	23.0	-385.796748049	23.0	62.4666666663
30.0	-319.705879412	27.0	-217.407411111	27.0	-309.929295757	27.0	-314.902781666	27.0	45.2695042551	27.0	33.8699219514	27.0	-782.533333333
33.0	-238.372549412	30.0	136.925928889	30.0	193.737374243	30.0	562.763888334	30.0	176.936174255	30.0	-72.4634180486	30.0	1.46666666631
36.0	-781.372549412	33.0	232.259258889	33.0	-282.262625757	33.0	498.097218334	33.0	16.2695042551	33.0	57.5365819514	33.0	-240.033333333
40.0	-963.372549412	36.0	-112.407411111	36.0	-353.262625757	36.0	-217.902781666	36.0	156.269504255	36.0	-595.130078049	36.0	-682.533333333
43.0	-373.705879412	40.0	-462.074071111	40.0	158.737374243	40.0	6.43055833387	40.0	43.6028342551	40.0	296.203251951	40.0	304.466666667
46.0	-615.039219412	43.0	-555.407411111	43.0	-79.262625757	43.0	-17.5694416662	43.0	-115.063825745	43.0	-398.463418049	43.0	85.9666666663
50.0	71.6274505882	46.0	-1180.07407111	46.0	-113.262625757	46.0	-365.236111666	46.0	-154.397165745	46.0	-161.463418049	46.0	-5.03333333369
53.0	-676.705879412	50.0	44.2592588881	50.0	-642.929295757	50.0	-308.902781666	50.0	-547.730495745	50.0	-691.796748049	50.0	-189.033333333
56.0	-98.0392194118	53.0	-481.074071111	53.0	-514.262625757	53.0	-351.569441666	53.0	-403.063825745	53.0	-279.463418049	53.0	-99.0333333337
60.0	-126.705879412	56.0	85.2592588881	56.0	30.737374243	56.0	399.097218334	56.0	-759.397165745	56.0	478.203251951	56.0	522.966666667
63.0	-763.039219412	60.0	-1028.74074111	60.0	-390.929295757	60.0	-230.902781666	60.0	-712.063825745	60.0	-58.1300780486	60.0	-11.5333333337
66.0	-672.372549412	63.0	-161.740741111	63.0	-618.929295757	63.0	255.430558334	63.0	-141.397165745	63.0	-285.130078049	63.0	-40.0333333337
70.0	-297.372549412	66.0	-667.740741111	66.0	-143.262625757	66.0	149.763888334	66.0	443.602834255	66.0	327.536581951	66.0	96.4666666663
73.0	-322.039219412	70.0	-335.074071111	70.0	-1021.59595576	70.0	-237.569441666	70.0	-208.397165745	70.0	-590.130078049	70.0	-345.033333333
76.0	-1134.70587941	73.0	-284.407411111	73.0	511.070704243	73.0	-875.236111666	73.0	-562.063825745	73.0	-319.130078049	73.0	-418.533333333
80.0	-616.039219412	76.0	-1586.07407111	76.0	-1014.92929576	76.0	-198.902781666	76.0	3.26950425516	76.0	-440.130078049	76.0	110.466666667
83.0	-326.705879412	80.0	-978.407411111	80.0	-492.929295757	80.0	-210.236111666	80.0	-239.730495745	80.0	-430.796748049	80.0	765.966666667
86.0	-500.705879412	83.0	-217.074071111	83.0	-81.929295757	83.0	-733.236111666	83.0	-472.397165745	83.0	37.2032519514	83.0	-116.533333333
90.0	-484.705879412	86.0	-1051.40741111	86.0	-108.929295757	86.0	-376.569441666	86.0	-294.397165745	86.0	-82.7967480486	86.0	754.466666667
93.0	-1347.37254941	90.0	-720.074071111	90.0	-895.595955757	90.0	537.097218334	90.0	-125.730495745	90.0	-225.796748049	90.0	17.9666666663
96.0	-872.372549412	93.0	-937.407411111	93.0	-252.929295757	93.0	-19.2361116662	93.0	167.602834255	93.0	-130.796748049	93.0	-85.0333333337
100.0	289.627450588	96.0	-73.7407411119	96.0	-171.929295757	96.0	143.430558334	96.0	-174.063825745	96.0	-102.463418049	96.0	-61.0333333337
103.0	-266.705879412	100.0	-422.074071111	100.0	-247.595955757	100.0	-170.236111666	100.0	-50.7304957449	100.0	-74.7967480486	100.0	-819.533333333
106.0	-639.705879412	103.0	-726.074071111	103.0	-595.595955757	103.0	-529.902781666	103.0	-1047.06382574	103.0	-231.796748049	103.0	68.9666666663
109.0	-281.039219412	106.0	-1099.07407111	106.0	-386.262625757	106.0	-361.569441666	106.0	-95.0638257449	106.0	-461.130078049	106.0	-747.033333333
