1Abetaalone.txt: column 1 X	1Abetaalone.txt: column 1 Y	15Abetaalone.txt: column 1 X	15Abetaalone.txt: column 1 Y	2Abetaalone.txt: column 1 X	2Abetaalone.txt: column 1 Y
0.0	2859.74603143	0.0	2856.07142857	0.0	988.0
3.0	2057.41270143	3.0	1490.57142857	3.0	1348.0
7.0	1328.07936143	7.0	895.571428572	7.0	551.5
10.0	789.412701428	10.0	412.071428572	10.0	304.5
13.0	-165.587298572	13.0	528.571428572	13.0	-507.5
17.0	-342.587298572	17.0	-853.428571428	17.0	-1347.5
20.0	38.746031428	20.0	-775.928571428	20.0	-320.0
23.0	-239.920638572	23.0	-991.428571428	23.0	-1017.0
27.0	10.079361428	27.0	-369.428571428	27.0	-1536.0
30.0	-384.587298572	30.0	-755.428571428	30.0	-758.5
33.0	-303.253968572	33.0	-1031.92857143	33.0	-1272.5
36.0	-846.253968572	36.0	-513.428571428	36.0	-1525.0
40.0	-1028.25396857	40.0	-521.928571428	40.0	-2355.5
43.0	-438.587298572	43.0	-369.928571428	43.0	-434.5
46.0	-679.920638572	46.0	-372.928571428	46.0	-1706.5
50.0	6.74603142801	50.0	-303.428571428	50.0	-762.0
53.0	-741.587298572	53.0	-626.428571428	53.0	-1017.5
56.0	-162.920638572	56.0	-727.428571428	56.0	-89.5
60.0	-191.587298572	60.0	-991.928571428	60.0	352.5
63.0	-827.920638572	63.0	36.071428572	63.0	1039.5
66.0	-737.253968572	66.0	-436.428571428	66.0	2753.5
70.0	-362.253968572	70.0	-1256.42857143	70.0	2808.5
73.0	-386.920638572	73.0	-276.928571428	73.0	5214.5
76.0	-1199.58729857	76.0	228.571428572	76.0	4953.5
80.0	-680.920638572	80.0	-351.928571428	80.0	5758.5
83.0	-391.587298572	83.0	339.571428572	83.0	8922.5
86.0	-565.587298572	86.0	640.571428572	86.0	12896.0
90.0	-549.587298572	90.0	-86.428571428	90.0	11961.0
93.0	-1412.25396857	93.0	550.071428572	93.0	14891.5
96.0	-937.253968572	96.0	364.071428572	96.0	16286.0
100.0	224.746031428	100.0	1272.07142857	100.0	19360.0
103.0	-331.587298572	103.0	3019.57142857	103.0	19660.5
106.0	-704.587298572	106.0	2835.57142857	106.0	21893.0
109.0	-345.920638572	109.0	4086.07142857	109.0	24769.0
113.0	-644.253968572	113.0	3328.57142857	113.0	28480.5
116.0	-271.253968572	116.0	5139.57142857	116.0	33127.5
119.0	-616.587298572	119.0	5467.57142857	119.0	33162.0
123.0	-714.920638572	123.0	6086.07142857	123.0	39640.0
126.0	-262.253968572	126.0	7596.07142857	126.0	42004.0
129.0	-1390.58729857	129.0	8046.57142857	129.0	43257.5
133.0	-313.253968572	133.0	9487.57142857	133.0	50581.0
136.0	18.746031428	136.0	10122.5714286	136.0	55543.0
139.0	-654.253968572	139.0	12319.0714286	139.0	59423.0
143.0	-544.587298572	143.0	14070.5714286	143.0	62664.0
146.0	-871.253968572	146.0	14033.0714286	146.0	69136.0
149.0	-892.587298572	149.0	15536.0714286	149.0	71293.5
153.0	-519.587298572	153.0	16840.0714286	153.0	74550.5
156.0	674.079361428	156.0	19395.5714286	156.0	75099.5
159.0	-969.253968572	159.0	20004.0714286	159.0	77204.0
163.0	232.412701428	163.0	23534.0714286	163.0	76707.0
166.0	510.079361428	166.0	24040.0714286	166.0	76861.0
169.0	106.412701428	169.0	25167.5714286	169.0	76650.5
172.0	14.746031428	172.0	28093.5714286	172.0	81650.0
176.0	346.412701428	176.0	30690.0714286	176.0	84342.5
179.0	1481.41270143	179.0	30881.0714286	179.0	84447.0
182.0	520.746031428	182.0	32679.5714286	182.0	83381.0
186.0	1092.41270143	186.0	32616.0714286	186.0	82431.5
189.0	1349.07936143	189.0	35157.0714286	189.0	83353.5
192.0	1280.07936143	192.0	39164.5714286	192.0	86349.0
196.0	2118.07936143	196.0	43012.5714286	196.0	82956.5
199.0	2636.07936143	199.0	42964.5714286	199.0	88870.0
202.0	2384.74603143	202.0	43158.5714286	202.0	91364.0
206.0	2986.74603143	206.0	44577.0714286	206.0	88985.0
209.0	3299.07936143	209.0	46504.5714286	209.0	92518.5
212.0	4179.41270143	212.0	46872.0714286	212.0	88559.0
216.0	3872.41270143	216.0	49493.0714286	216.0	92485.0
219.0	5226.07936143	219.0	51466.5714286	219.0	89199.0
222.0	4788.07936143	222.0	51173.0714286	222.0	90386.0
226.0	6123.07936143	226.0	51550.5714286	226.0	89168.0
229.0	5688.07936143	229.0	53723.0714286	229.0	91387.5
232.0	7040.07936143	232.0	53962.5714286	232.0	89848.5
235.0	6050.07936143	235.0	54010.0714286	235.0	96467.5
239.0	8192.74603143	239.0	53165.5714286	239.0	91148.5
242.0	7737.07936143	242.0	55011.5714286	242.0	97525.5
245.0	10563.4127014	245.0	56896.0714286	245.0	94827.0
249.0	11198.0793614	249.0	57023.0714286	249.0	95292.0
252.0	10195.7460314	252.0	56747.0714286	252.0	97237.0
255.0	11414.0793614	255.0	57720.5714286	255.0	95405.0
259.0	13611.7460314	259.0	57313.5714286	259.0	96659.0
262.0	12984.0793614	262.0	56805.0714286	262.0	94186.0
265.0	12102.0793614	265.0	60715.0714286	265.0	97714.0
269.0	15520.4127014	269.0	59239.5714286	269.0	100417.0
272.0	15925.7460314	272.0	60975.5714286	272.0	100166.0
275.0	20979.4127014	275.0	61861.0714286	275.0	97263.5
279.0	18671.4127014	279.0	60787.5714286	279.0	96413.5
282.0	19174.7460314	282.0	62663.0714286	282.0	100300.5
285.0	20683.0793614	285.0	59781.0714286	285.0	96688.5
289.0	19813.7460314	289.0	61137.5714286	289.0	98582.5
292.0	22886.0793614	292.0	59883.0714286	292.0	99427.5
295.0	23389.4127014	295.0	63686.0714286	295.0	99638.5
298.0	23827.4127014	298.0	62900.0714286	298.0	99100.5
302.0	28608.7460314	302.0	62992.5714286	302.0	96702.0
