1ABETA-10D.txt: column 1 X	1ABETA-10D.txt: column 1 Y	15ABETA-10D2.txt: column 1 X	15ABETA-10D2.txt: column 1 Y	2ABETA-10D2.txt: column 1 X	2ABETA-10D2.txt: column 1 Y
0.0	2059.99145051	0.0	1076.33333545	0.0	1823.5
3.0	1533.99145051	3.0	1577.33333545	3.0	707.0
7.0	1056.65812051	7.0	163.333335456	7.0	682.5
10.0	719.991450513	10.0	-25.0000045445	10.0	622.0
13.0	770.991450513	13.0	20.3333354555	13.0	31.5
17.0	654.991450513	17.0	-7.00000454441	17.0	-906.5
20.0	677.991450513	20.0	-1086.66666455	20.0	-175.5
23.0	686.658120513	23.0	164.666665456	23.0	-880.5
27.0	15.658120513	27.0	-658.666664544	27.0	-1009.5
30.0	147.324790513	30.0	-583.000004544	30.0	-894.5
33.0	-13.341879487	33.0	-641.666664544	33.0	-1505.5
36.0	126.658120513	36.0	-375.666664544	36.0	-240.0
40.0	13.991450513	40.0	-939.000004544	40.0	-1313.0
43.0	-144.675209487	43.0	-837.666664544	43.0	-1365.0
46.0	-184.008549487	46.0	-637.666664544	46.0	-793.0
50.0	-577.341879487	50.0	-1392.00000455	50.0	-1195.5
53.0	-432.675209487	53.0	-391.000004544	53.0	-610.5
56.0	-789.008549487	56.0	-325.333334544	56.0	-1508.0
60.0	-741.675209487	60.0	-1192.66666455	60.0	-1487.0
63.0	-171.008549487	63.0	-1157.00000455	63.0	-1317.0
66.0	413.991450513	66.0	-852.333334544	66.0	-1091.5
70.0	-238.008549487	70.0	-168.333334544	70.0	-1076.5
73.0	-591.675209487	73.0	-101.000004544	73.0	88.5
76.0	-26.341879487	76.0	613.333335456	76.0	-373.5
80.0	-269.341879487	80.0	-182.333334544	80.0	231.0
83.0	-502.008549487	83.0	-101.333334544	83.0	867.5
86.0	-324.008549487	86.0	612.999995456	86.0	112.5
90.0	-155.341879487	90.0	550.666665456	90.0	513.5
93.0	137.991450513	93.0	-135.000004544	93.0	1210.0
96.0	-203.675209487	96.0	210.999995456	96.0	2727.5
100.0	-80.341879487	100.0	-285.333334544	100.0	1991.5
103.0	-1076.67520949	103.0	256.999995456	103.0	2841.0
106.0	-124.675209487	106.0	871.999995456	106.0	3159.5
109.0	-585.008549487	109.0	613.666665456	109.0	4305.5
113.0	-783.008549487	113.0	909.666665456	113.0	4213.5
116.0	-337.675209487	116.0	1024.99999545	116.0	5268.5
119.0	-777.008549487	119.0	1396.33333545	119.0	6071.0
123.0	165.991450513	123.0	600.333335456	123.0	6213.0
126.0	-54.341879487	126.0	900.999995456	126.0	7545.0
129.0	17.324790513	129.0	1070.99999545	129.0	9186.5
133.0	-339.008549487	133.0	1564.99999545	133.0	9265.5
136.0	168.991450513	136.0	1543.33333545	136.0	9590.0
139.0	-410.675209487	139.0	1429.66666545	139.0	11706.0
143.0	490.658120513	143.0	2366.33333545	143.0	11994.0
146.0	-503.675209487	146.0	2581.66666545	146.0	13628.5
149.0	-234.341879487	149.0	3315.66666545	149.0	15730.0
153.0	-581.008549487	153.0	2695.99999545	153.0	15900.0
156.0	-735.341879487	156.0	4103.33333545	156.0	17267.5
159.0	319.324790513	159.0	3959.66666545	159.0	17788.5
163.0	47.658120513	163.0	4917.99999545	163.0	21096.5
166.0	-214.675209487	166.0	5541.66666545	166.0	20528.0
169.0	-784.008549487	169.0	5220.16666545	169.0	23883.0
172.0	-276.341879487	172.0	5851.99999545	172.0	23899.0
176.0	360.658120513	176.0	6734.66666545	176.0	24719.0
179.0	-336.341879487	179.0	7615.33333545	179.0	26807.5
182.0	-342.675209487	182.0	6926.66666545	182.0	26220.0
186.0	-776.008549487	186.0	7653.99999545	186.0	28729.5
189.0	-483.341879487	189.0	10050.6666655	189.0	29369.5
192.0	-508.675209487	192.0	9621.66666545	192.0	28135.0
196.0	-23.341879487	196.0	10102.9999955	196.0	30182.5
199.0	293.991450513	199.0	10322.9999955	199.0	31675.5
202.0	543.324790513	202.0	12704.3333355	202.0	31662.0
206.0	225.324790513	206.0	11297.6666655	206.0	31078.5
209.0	-173.341879487	209.0	13375.6666655	209.0	32894.0
212.0	-302.341879487	212.0	13730.9999955	212.0	34288.0
216.0	-265.675209487	216.0	14550.9999955	216.0	34194.5
